Field 1	Field 2	Field 3	Field 4	Field 5	Field 6	Field 7	Field 8	Field 9	Field 10
Text 11	123	2023-08-01	Text 12	456	2023-09-01	Text 13	2	2023-10-01	Text 14
Text 21	246	2023-08-02	Text 22	912	2023-09-02	Text 23	4	2023-10-02	Text 24
Text 31	369	2023-08-03	Text 32	1368	2023-09-03	Text 33	8	2023-10-03	Text 34
Text 41	492	2023-08-04	Text 42	1824	2023-09-04	Text 43	16	2023-10-04	Text 44
Text 51	615	2023-08-05	Text 52	2280	2023-09-05	Text 53	32	2023-10-05	Text 54
Text 61	738	2023-08-06	Text 62	2736	2023-09-06	Text 63	64	2023-10-06	Text 64
Text 71	861	2023-08-07	Text 72	3192	2023-09-07	Text 73	128	2023-10-07	Text 74
Text 81	984	2023-08-08	Text 82	3648	2023-09-08	Text 83	256	2023-10-08	Text 84
Text 91	1107	2023-08-09	Text 92	4104	2023-09-09	Text 93	512	2023-10-09	Text 94
Text 101	1230	2023-08-10	Text 102	4560	2023-09-10	Text 103	1024	2023-10-10	Text 104
Text 111	1353	2023-08-11	Text 112	5016	2023-09-11	Text 113	2048	2023-10-11	Text 114
Text 121	1476	2023-08-12	Text 122	5472	2023-09-12	Text 123	4096	2023-10-12	Text 124
Text 131	1599	2023-08-13	Text 132	5928	2023-09-13	Text 133	8192	2023-10-13	Text 134
Text 141	1722	2023-08-14	Text 142	6384	2023-09-14	Text 143	16384	2023-10-14	Text 144
Text 151	1845	2023-08-15	Text 152	6840	2023-09-15	Text 153	92768	2023-10-15	Text 154
Text 161	1968	2023-08-16	Text 162	7296	2023-09-16	Text 163	65536	2023-10-16	Text 164
